,name,id,link
224,H.M. Higgs,a5323ff3-769f-4f8d-8100-78d1a2eb274f,https://levy-test.mse.jhu.edu/jsonapi/taxonomy_term/creator_r/a5323ff3-769f-4f8d-8100-78d1a2eb274f
225,Henry Hall,26101f0b-752a-41f0-8e96-b17717e2e35c,https://levy-test.mse.jhu.edu/jsonapi/taxonomy_term/creator_r/26101f0b-752a-41f0-8e96-b17717e2e35c
226,Mornay D. Helm,b6c8eca6-2a23-40fc-8583-3653d85f3dac,https://levy-test.mse.jhu.edu/jsonapi/taxonomy_term/creator_r/b6c8eca6-2a23-40fc-8583-3653d85f3dac
227,Philip J. Lang,2c05df52-a027-42cc-81e7-8aa53f7c71d8,https://levy-test.mse.jhu.edu/jsonapi/taxonomy_term/creator_r/2c05df52-a027-42cc-81e7-8aa53f7c71d8
228,Solito De Solis,eb398716-7a0a-46a1-b1e9-804b4b8f0df8,https://levy-test.mse.jhu.edu/jsonapi/taxonomy_term/creator_r/eb398716-7a0a-46a1-b1e9-804b4b8f0df8
229,William Bolcom,49a31ded-ab64-4b1d-b1fd-5b56c525b2ca,https://levy-test.mse.jhu.edu/jsonapi/taxonomy_term/creator_r/49a31ded-ab64-4b1d-b1fd-5b56c525b2ca
230,Al Harriman,f5bbf135-ec9c-460d-ae28-bcbca9860afe,https://levy-test.mse.jhu.edu/jsonapi/taxonomy_term/creator_r/f5bbf135-ec9c-460d-ae28-bcbca9860afe
231,Andrew B. Sterling,7caf497c-feed-4c4f-ad96-7602a8b4194a,https://levy-test.mse.jhu.edu/jsonapi/taxonomy_term/creator_r/7caf497c-feed-4c4f-ad96-7602a8b4194a
232,Bert Kalmar,e662e76e-9b06-4fa4-8c10-b6a1146a6082,https://levy-test.mse.jhu.edu/jsonapi/taxonomy_term/creator_r/e662e76e-9b06-4fa4-8c10-b6a1146a6082
233,Bo Gentry,f8b68bca-2f04-47b0-b721-20aec05ffeee,https://levy-test.mse.jhu.edu/jsonapi/taxonomy_term/creator_r/f8b68bca-2f04-47b0-b721-20aec05ffeee
234,Bob Cole,15cd9eeb-429b-49e1-bbd9-03928e686b64,https://levy-test.mse.jhu.edu/jsonapi/taxonomy_term/creator_r/15cd9eeb-429b-49e1-bbd9-03928e686b64
235,Dorothy Donnelly,86c25dd8-4a6b-4929-b5b8-81f062d4a17c,https://levy-test.mse.jhu.edu/jsonapi/taxonomy_term/creator_r/86c25dd8-4a6b-4929-b5b8-81f062d4a17c
236,E. Ray Goetz,ef48411d-1f72-449a-b6a6-2360d78b5f99,https://levy-test.mse.jhu.edu/jsonapi/taxonomy_term/creator_r/ef48411d-1f72-449a-b6a6-2360d78b5f99
237,Edward Eliscu,4d6f9e51-2092-45ec-81b2-f354f71c8ed7,https://levy-test.mse.jhu.edu/jsonapi/taxonomy_term/creator_r/4d6f9e51-2092-45ec-81b2-f354f71c8ed7
238,Frank Mandel,28510311-bbeb-437d-9c41-fb9207080106,https://levy-test.mse.jhu.edu/jsonapi/taxonomy_term/creator_r/28510311-bbeb-437d-9c41-fb9207080106
